INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_2022,TURMA_2022,INDE_2022,PEDRA_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,IPP_2022,PONTO_VIRADA_2022,IPV_2022,IAN_2022
Escola Pública,ALUNO-35,,,,,,,,,,,,,,,
Escola Pública,ALUNO-36,4.0,B,6.854.039.584.291.180,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,583.333,8.074.712.643.678.160,6.25,5.877.777.777.777.770,796.875,Não,77.916.675,5.0
Escola Pública,ALUNO-37,2.0,L,755.554.175.568.551,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.500.020.000.000.000,9.041.585.445.094.210,7.5,7.333.333.333.333.330,6.25,Não,7.777.779.999.999.990,5.0
,ALUNO-38,3.0,K,6.695.387.571.428.570,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,916.668,6.721.726.190.476.190,6.25,5.666.666.666.666.660,734.375,Não,720.833,5.0
Escola Pública,ALUNO-39,,,,,,,,,,,,,,,
,ALUNO-40,,,,,,,,,,,,,,,
Escola Pública,ALUNO-41,,,,,,,,,,,,,,,
,ALUNO-42,0.0,E,4.279.765.904.761.900,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,3.148.809.523.809.520,7.5,2.5,0.0,Não,250.001,10.0
Escola Pública,ALUNO-43,,,,,,,,,,,,,,,
Escola Pública,ALUNO-44,,,,,,,,,,,,,,,
Escola Pública,ALUNO-45,2.0,F,6.730.556,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.916.679.999.999.990,9.166.666.666.666.660,6.25,5.0,6.25,Não,6.777.773.333.333.330,5.0
Escola Pública,ALUNO-46,1.0,K,7.398.436.561.403.500,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,9.082.456.140.350.870,7.5,5.0,6.041.666.666.666.660,Não,6.888.883.333.333.330,10.0
,ALUNO-47,1.0,C,765.278,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,10.0,7.5,7.416.666.666.666.660,6.25,Não,7.222.223.333.333.330,5.0
,ALUNO-48,5.0,F,3.914.881.285.714.280,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,541.667,3.803.571.428.571.420,6.25,0.0,5.625,Não,4.625,5.0
,ALUNO-49,0.0,O,8.339.586.333.333.330,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,950.002,10.0,7.5,8.166.666.666.666.660,6.5625,Sim,9.250.005,5.0
,ALUNO-50,3.0,E,4.966.393.630.641.450,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,4.630.580.097.651.700,7.5,3.055.555.555.555.550,5.625,Não,55.833.325,10.0
Escola Pública,ALUNO-51,1.0,F,6.953.190.321.839.080,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,9.203.448.275.862.060,7.5,5.083.333.333.333.330,5.625,Não,691.666,5.0
Escola Pública,ALUNO-52,,,,,,,,,,,,,,,
Einstein,ALUNO-53,,,,,,,,,,,,,,,
,ALUNO-54,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-55,,,,,,,,,,,,,,,
,ALUNO-56,7.0,A,3.036.573.379.084.960,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,3.597.794.117.647.050,5.0,4.444.444.444.444.440,328.125,Não,4.500.003.333.333.330,5.0
Rede Decisão/União,ALUNO-57,,,,,,,,,,,,,,,
,ALUNO-58,3.0,M,7.305.158.063.492.060,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,791.667,7.991.071.428.571.420,7.5,6.888.888.888.888.880,8.125,Não,7.374.995,5.0
Escola Pública,ALUNO-59,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-60,7.0,A,5.783.132.947.712.410,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,833.334,4.129.901.960.784.310,5.625,4.044.444.444.444.440,796.875,Não,7.277.773.333.333.330,5.0
Escola Pública,ALUNO-61,2.0,U,6.410.355.757.575.750,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1.000.002,7.787.878.787.878.780,7.5,2.5,6.25,Não,738.889,5.0
Escola Pública,ALUNO-62,,,,,,,,,,,,,,,
,ALUNO-63,0.0,J,6.683.821.329.434.690,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,950.002,8.544.103.313.840.150,5.625,5.083.333.333.333.330,5.625,Não,691.666,5.0
,ALUNO-64,3.0,M,4.664.931.388.888.880,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,875.001,3.611.111.111.111.110,7.5,2.833.333.333.333.330,484.375,Não,38.333.325,5.0
,ALUNO-65,1.0,K,7.987.503.111.111.110,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,9.555.555.555.555.550,5.625,8.166.666.666.666.660,6.25,Sim,8.777.783.333.333.330,5.0
,ALUNO-66,3.0,D,7.171.874.500.000.000,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,666.667,5.784.722.222.222.220,7.5,7.777.777.777.777.770,734.375,Não,65.416.625,10.0
,ALUNO-67,1.0,G,6.770.192.769.423.550,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,788.220.551.378.446,5.0,5.583.333.333.333.330,5.9375,Não,7.916.665,5.0
Escola Pública,ALUNO-68,,,,,,,,,,,,,,,
,ALUNO-69,0.0,M,7.598.297.219.273.480,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,7.545.642.763.034.060,7.5,7.883.333.333.333.330,5.625,Sim,8.5,5.0
,ALUNO-70,2.0,D,8.205.557.333.333.330,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,8.833.333.333.333.330,7.5,6.5,6.666.666.666.666.660,Sim,861.111,10.0
Escola Pública,ALUNO-71,,,,,,,,,,,,,,,
,ALUNO-72,0.0,D,7.728.843.833.635.810,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,750.002,8.602.540.834.845.730,8.125,8.833.333.333.333.330,5.625,Não,8.083.335,5.0
,ALUNO-73,4.0,L,6.712.044.773.504.270,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,833.334,6.992.521.367.521.360,7.5,6.5,671.875,Não,62.916.575,5.0
,ALUNO-74,4.0,B,6.684.722.722.222.220,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,791.667,6.25,6.875,6.111.111.111.111.110,7.5,Não,74.166.675,5.0
Rede Decisão/União,ALUNO-75,5.0,L,9.441.521.857.142.850,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,9.660.714.285.714.280,9.375,8.5,921.875,Sim,975.001,10.0
Escola Pública,ALUNO-76,1.0,B,8.306.175.283.950.610,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,9.419.753.086.419.750,7.5,7.166.666.666.666.660,5.833.333.333.333.330,Não,827.778,10.0
,ALUNO-77,0.0,I,7.901.663.220.043.570,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,8.237.472.766.884.530,8.75,8.333.333.333.333.330,5.625,Não,8.25,5.0
Escola Pública,ALUNO-78,1.0,D,7.604.387.307.346.320,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,691.668,9.480.259.870.064.960,7.5,7.666.666.666.666.660,6.666.666.666.666.660,Não,7.833.336.666.666.660,5.0
,ALUNO-79,3.0,F,7.110.494.326.118.320,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,958.335,7.463.924.963.924.960,7.5,3.666.666.666.666.660,734.375,Não,720.833,10.0
Escola Pública,ALUNO-80,2.0,K,6.580.093.259.259.250,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,683.334,9.296.296.296.296.290,5.625,4.25,6.25,Não,7.5,5.0
Escola Pública,ALUNO-81,6.0,A,7.474.202.506.556.240,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,833.334,7.402.950.310.559.000,8.125,6.655.555.555.555.550,7.5,Sim,8.833.336.666.666.660,5.0
Escola Pública,ALUNO-82,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-83,5.0,A,7.202.977.523.809.520,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,791.667,7.819.047.619.047.610,7.5,6.8,6.875,Não,7.750.005,5.0
Escola Pública,ALUNO-84,1.0,A,7.502.401.434.343.430,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,8.838.383.838.383.830,7.5,6.25,6.458.333.333.333.330,Sim,8.444.446.666.666.660,5.0
Escola Pública,ALUNO-85,1.0,G,7.744.553.615.384.610,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,950.002,9.743.589.743.589.740,5.0,7.583.333.333.333.330,5.625,Sim,8.833.335,5.0
Escola Pública,ALUNO-86,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-87,5.0,L,6.644.810.737.664.290,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,916.668,5.652.169.521.654.810,5.625,6.566.666.666.666.660,796.875,Não,71.250.025,5.0
Rede Decisão/União,ALUNO-88,3.0,A,8.427.269.800.194.930,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,958.335,911.793.372.319.688,5.625,6.877.777.777.777.770,890.625,Sim,90.833.375,10.0
Escola Pública,ALUNO-89,,,,,,,,,,,,,,,
Escola Pública,ALUNO-90,5.0,C,5.195.056.982.905.980,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.833.320.000.000.000,3.004.807.692.307.690,7.5,3.555.555.555.555.550,671.875,Não,6.888.886.666.666.660,5.0
Escola Pública,ALUNO-91,2.0,F,7.412.884.468.772.600,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.500.020.000.000.000,7.918.575.677.196.360,7.5,7.916.666.666.666.660,6.458.333.333.333.330,Não,7.500.003.333.333.330,5.0
,ALUNO-92,0.0,Q,7.232.068.817.813.760,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,950.002,926.450.742.240.216,7.5,5.416.666.666.666.660,5.625,Não,766.666,5.0
,ALUNO-93,,,,,,,,,,,,,,,
Escola Pública,ALUNO-94,,,,,,,,,,,,,,,
Escola Pública,ALUNO-95,,,,,,,,,,,,,,,
Escola Pública,ALUNO-96,,,,,,,,,,,,,,,
Escola Pública,ALUNO-97,3.0,D,7.501.754.052.631.570,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,791.667,8.467.105.263.157.890,7.5,7.0,7.5,Não,558.333,10.0
,ALUNO-98,3.0,D,7.396.527.277.777.770,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,791.667,8.520.833.333.333.330,7.5,7.055.555.555.555.550,7.8125,Não,72.916.625,5.0
,ALUNO-99,7.0,D,77.833.335,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,875.001,10.0,7.5,7.25,7.5,Não,72.916.625,5.0
Escola Pública,ALUNO-100,2.0,K,6.042.318.760.312.150,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,8.475.473.801.560.750,5.0,1.666.666.666.666.660,6.25,Não,7.444.443.333.333.330,5.0
,ALUNO-101,3.0,M,7.477.568.777.777.770,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,708.333,7.854.166.666.666.660,6.25,6.622.222.222.222.220,765.625,Não,7.416.665,10.0
Escola Pública,ALUNO-102,1.0,P,7.475.860.455.026.450,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.333.340.000.000.000,8.941.798.941.798.940,7.5,7.666.666.666.666.660,6.041.666.666.666.660,Não,7.833.333.333.333.330,5.0
Escola Pública,ALUNO-103,1.0,F,7.105.690.655.172.410,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,950.002,8.903.448.275.862.060,5.625,6.0,5.625,Não,7.749.995,5.0
,ALUNO-104,0.0,B,8.357.710.510.121.450,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,9.392.712.550.607.280,7.5,7.25,5.625,Sim,858.333,10.0
Escola Pública,ALUNO-105,,,,,,,,,,,,,,,
Escola Pública,ALUNO-106,,,,,,,,,,,,,,,
,ALUNO-107,0.0,C,601.131.119.047.619,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,791.668,4.952.380.952.380.950,7.5,4.0,5.625,Não,8.083.335,5.0
,ALUNO-108,0.0,O,7.642.290.505.279.030,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,8.565.610.859.728.500,7.5,8.416.666.666.666.660,5.625,Não,7.666.665,5.0
,ALUNO-109,,,,,,,,,,,,,,,
,ALUNO-110,0.0,H,7.426.485.448.585.230,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,6.590.752.242.926.150,8.125,5.5,5.625,Não,8.166.665,10.0
Escola Pública,ALUNO-111,,,,,,,,,,,,,,,
Escola Pública,ALUNO-112,,,,,,,,,,,,,,,
Escola Pública,ALUNO-113,3.0,M,640.909.040.909.091,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,916.668,6.253.787.878.787.870,5.625,5.166.666.666.666.660,5.625,Não,54.166.575,10.0
