INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_2022,TURMA_2022,INDE_2022,PEDRA_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,IPP_2022,PONTO_VIRADA_2022,IPV_2022,IAN_2022
Rede Decisão/União,ALUNO-12,,,,,,,,,,,,,,,
,ALUNO-13,,,,,,,,,,,,,,,
Escola Pública,ALUNO-14,,,,,,,,,,,,,,,
Escola Pública,ALUNO-15,,,,,,,,,,,,,,,
,ALUNO-16,"1,00",P,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,50","9,30","6,88","6,33","4,79",Não,"6,72","5,00"
Escola Pública,ALUNO-17,"1,00",G,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,50","6,64","7,50","5,50","5,93",Não,"7,50","5,00"
Escola Pública,ALUNO-18,"4,00",H,"5,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","0,00","6,28","8,13","5,22","7,81",Não,"7,24","5,00"
,ALUNO-19,"2,00",Q,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","9,05","7,50","7,46","6,66",Não,"8,11","5,00"
,ALUNO-20,"0,00",Z,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","9,55","7,50","8,46","6,00",Sim,"8,50","10,00"
,ALUNO-21,"3,00",N,"5,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,90","5,64","5,00","5,16","7,00",Não,"6,22","2,50"
,ALUNO-22,"0,00",Z,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,00","8,98","7,50","9,25","4,68",Não,"7,16","10,00"
,ALUNO-23,"1,00",U,"7,70",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","8,00","7,79","7,50","9,25","6,56",Não,"8,33","5,00"
,ALUNO-24,"2,00",A,"8,20",Topázio,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","9,32","6,88","6,75","6,45",Sim,"8,61","10,00"
,ALUNO-25,"0,00",Y,"7,90",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","7,50","8,34","7,50","9,10","3,00",Não,"8,24","10,00"
,ALUNO-26,"0,00",F,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,00","8,72","7,50","9,16","5,93",Não,"7,08","5,00"
,ALUNO-27,"2,00",M,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,00","6,49","7,50","4,58","6,00",Não,"7,11","5,00"
Rede Decisão/União,ALUNO-28,,,,,,,,,,,,,,,
,ALUNO-29,"3,00",C,"4,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","0,00","4,83","7,50","5,77","6,70",Não,"5,70","2,50"
Escola Pública,ALUNO-30,"0,00",K,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","9,00","7,50","9,10","6,00",Não,"8,25","5,00"
,ALUNO-31,"0,00",V,"7,00",Ametista,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","6,90","7,31","7,50","7,46","5,31",Não,"6,66","10,00"
,ALUNO-32,"7,00",D,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","7,90","8,33","7,50","4,00","7,30",Não,"7,75","5,00"
Escola Pública,ALUNO-33,,,,,,,,,,,,,,,
Escola Pública,ALUNO-34,"3,00",C,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,50","7,05","7,50","6,11","7,50",Não,"6,42","5,00"
Escola Pública,ALUNO-35,,,,,,,,,,,,,,,
Escola Pública,ALUNO-36,"4,00",B,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","5,80","8,07","6,25","5,87","7,90",Não,"7,79","5,00"
Escola Pública,ALUNO-37,"2,00",L,"7,50",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","8,50","9,04","7,50","7,33","6,25",Não,"7,77","5,00"
,ALUNO-38,"3,00",K,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,10","6,72","6,25","5,66","7,30",Não,"7,21","5,00"
Escola Pública,ALUNO-39,,,,,,,,,,,,,,,
,ALUNO-40,,,,,,,,,,,,,,,
Escola Pública,ALUNO-41,,,,,,,,,,,,,,,
,ALUNO-42,"0,00",E,"4,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,00","3,14","7,50","2,50","0,00",Não,"2,50","10,00"
Escola Pública,ALUNO-43,,,,,,,,,,,,,,,
Escola Pública,ALUNO-44,,,,,,,,,,,,,,,
Escola Pública,ALUNO-45,"2,00",F,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,91","9,16","6,25","5,00","6,25",Não,"6,77","5,00"
Escola Pública,ALUNO-46,"1,00",K,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,50","9,08","7,50","5,00","6,04",Não,"6,88","10,00"
,ALUNO-47,"1,00",C,"7,60",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,50","10,00","7,50","7,41","6,25",Não,"7,22","5,00"
,ALUNO-48,"5,00",F,"3,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","5,40","3,80","6,25","0,00","6,00",Não,"5,00","5,00"
,ALUNO-49,"0,00",O,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,50","10,00","7,50","8,16","6,56",Sim,"9,25","5,00"
,ALUNO-50,"3,00",E,"4,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","0,00","4,63","7,50","3,05","6,00",Não,"5,58","10,00"
Escola Pública,ALUNO-51,"1,00",F,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,00","9,20","7,50","5,08","6,00",Não,"6,92","5,00"
Escola Pública,ALUNO-52,,,,,,,,,,,,,,,
Einstein,ALUNO-53,,,,,,,,,,,,,,,
,ALUNO-54,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-55,,,,,,,,,,,,,,,
,ALUNO-56,"7,00",A,"3,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","0,00","3,59","5,00","4,44","3,20",Não,"4,50","5,00"
Rede Decisão/União,ALUNO-57,,,,,,,,,,,,,,,
,ALUNO-58,"3,00",M,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,90","7,99","7,50","6,88","8,00",Não,"7,37","5,00"
Escola Pública,ALUNO-59,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-60,"7,00",A,"5,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,30","4,12","5,63","4,04","7,90",Não,"7,27","5,00"
Escola Pública,ALUNO-61,"2,00",U,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","1,00","7,78","7,50","2,50","6,25",Não,"7,39","5,00"
Escola Pública,ALUNO-62,,,,,,,,,,,,,,,
,ALUNO-63,"0,00",J,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,50","8,54","5,63","5,08","6,00",Não,"6,92","5,00"
,ALUNO-64,"3,00",M,"4,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,70","3,61","7,50","2,83","4,80",Não,"3,83","5,00"
,ALUNO-65,"1,00",K,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","9,55","5,63","8,16","6,25",Sim,"8,77","5,00"
,ALUNO-66,"3,00",D,"7,00",Ametista,"Melhorar: Melhorar a sua entrega de lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","6,70","5,78","7,50","7,77","7,30",Não,"6,54","10,00"
,ALUNO-67,"1,00",G,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,00","7,88","5,00","5,58","5,93",Não,"7,91","5,00"
Escola Pública,ALUNO-68,,,,,,,,,,,,,,,
,ALUNO-69,"0,00",M,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","7,54","7,50","7,88","6,00",Sim,"8,50","5,00"
,ALUNO-70,"2,00",D,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","8,83","7,50","6,50","6,66",Sim,"8,61","10,00"
Escola Pública,ALUNO-71,,,,,,,,,,,,,,,
,ALUNO-72,"0,00",D,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","7,50","8,60","8,13","8,83","6,00",Não,"8,08","5,00"
,ALUNO-73,"4,00",L,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,30","6,99","7,50","6,50","6,70",Não,"6,29","5,00"
,ALUNO-74,"4,00",B,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,90","6,25","6,88","6,11","7,50",Não,"7,41","5,00"
Rede Decisão/União,ALUNO-75,"5,00",L,"9,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","9,66","9,38","8,50","9,20",Sim,"9,75","10,00"
Escola Pública,ALUNO-76,"1,00",B,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","9,41","7,50","7,16","5,83",Não,"8,30","10,00"
,ALUNO-77,"0,00",I,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","8,23","8,75","8,33","6,00",Não,"8,25","5,00"
Escola Pública,ALUNO-78,"1,00",D,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","6,90","9,48","7,50","7,66","6,66",Não,"7,83","5,00"
,ALUNO-79,"3,00",F,"7,00",Ametista,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,60","7,46","7,50","3,66","7,30",Não,"7,21","10,00"
Escola Pública,ALUNO-80,"2,00",K,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","6,80","9,29","5,63","4,25","6,25",Não,"7,50","5,00"
Escola Pública,ALUNO-81,"6,00",A,"7,00",Ametista,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","8,30","7,40","8,13","6,65","7,50",Sim,"8,83","5,00"
Escola Pública,ALUNO-82,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-83,"5,00",A,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","7,90","7,81","7,50","6,80","7,00",Não,"7,75","5,00"
Escola Pública,ALUNO-84,"1,00",A,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,00","8,83","7,50","6,25","6,45",Sim,"8,44","5,00"
Escola Pública,ALUNO-85,"1,00",G,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,50","9,74","5,00","7,58","6,00",Sim,"8,83","5,00"
Escola Pública,ALUNO-86,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-87,"5,00",L,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,20","5,65","5,63","6,56","7,90",Não,"7,12","5,00"
Rede Decisão/União,ALUNO-88,"3,00",A,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,60","9,10","5,63","6,87","8,90",Sim,"9,08","10,00"
Escola Pública,ALUNO-89,,,,,,,,,,,,,,,
Escola Pública,ALUNO-90,"5,00",C,"5,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","5,83","3,00","7,50","3,55","6,70",Não,"6,88","5,00"
Escola Pública,ALUNO-91,"2,00",F,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","8,50","7,91","7,50","7,91","6,45",Não,"7,50","5,00"
,ALUNO-92,"0,00",Q,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,50","9,20","7,50","5,41","6,00",Não,"7,67","5,00"
,ALUNO-93,,,,,,,,,,,,,,,
Escola Pública,ALUNO-94,,,,,,,,,,,,,,,
Escola Pública,ALUNO-95,,,,,,,,,,,,,,,
Escola Pública,ALUNO-96,,,,,,,,,,,,,,,
Escola Pública,ALUNO-97,"3,00",D,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,90","8,46","7,50","7,00","7,50",Não,"5,58","10,00"
,ALUNO-98,"3,00",D,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,90","8,52","7,50","7,05","7,81",Não,"0,73","5,00"
,ALUNO-99,"7,00",D,"7,70",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,70","10,00","7,50","7,25","7,50",Não,"7,29","5,00"
Escola Pública,ALUNO-100,"2,00",K,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,00","8,47","5,00","1,66","6,25",Não,"7,44","5,00"
,ALUNO-101,"3,00",M,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,10","7,85","6,25","6,62","7,60",Não,"7,41","10,00"
Escola Pública,ALUNO-102,"1,00",P,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","7,33","8,94","7,50","7,66","6,04",Não,"7,83","5,00"
Escola Pública,ALUNO-103,"1,00",F,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,50","8,90","5,63","6,00","6,00",Não,"7,74","5,00"
,ALUNO-104,"0,00",B,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","9,39","7,50","7,25","6,00",Sim,"8,58","10,00"
Escola Pública,ALUNO-105,,,,,,,,,,,,,,,
Escola Pública,ALUNO-106,,,,,,,,,,,,,,,
,ALUNO-107,"0,00",C,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","7,90","4,95","7,50","4,00","6,00",Não,"8,08","5,00"
,ALUNO-108,"0,00",O,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,00","8,56","7,50","8,41","6,00",Não,"7,66","5,00"
,ALUNO-109,,,,,,,,,,,,,,,
,ALUNO-110,"0,00",H,"7,00",Ametista,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","6,59","8,13","5,50","6,00",Não,"8,16","10,00"
Escola Pública,ALUNO-111,,,,,,,,,,,,,,,
Escola Pública,ALUNO-112,,,,,,,,,,,,,,,
Escola Pública,ALUNO-113,"3,00",M,"6,40",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,10","6,25","5,63","5,16","6,00",Não,"5,41","10,00"
,ALUNO-114,"0,00",K,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,50","7,74","7,50","8,76","5,31",Não,"7,25","5,00"
Escola Pública,ALUNO-115,,,,,,,,,,,,,,,
,ALUNO-116,"2,00",B,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","9,33","7,50","5,75","6,25",Não,"7,61","10,00"
Escola Pública,ALUNO-117,,,,,,,,,,,,,,,
Escola Pública,ALUNO-118,"1,00",H,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","8,40","7,50","9,41","6,56",Sim,"9,33","5,00"
,ALUNO-119,"3,00",K,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,10","8,63","6,25","8,88","7,30",Não,"7,24","10,00"
Escola Pública,ALUNO-120,,,,,,,,,,,,,,,
,ALUNO-121,"2,00",M,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,00","8,46","7,50","2,50","6,45",Não,"6,77","5,00"
,ALUNO-122,"1,00",L,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,00","10,00","7,50","8,00","6,04",Não,"7,05","10,00"
,ALUNO-123,"2,00",A,"7,00",Ametista,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,50","6,81","7,50","6,00","6,66",Sim,"8,44","10,00"
,ALUNO-124,"1,00",A,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,00","8,03","7,50","5,16","5,41",Não,"6,88","10,00"
Escola Pública,ALUNO-125,,,,,,,,,,,,,,,
,ALUNO-126,"0,00",Q,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,00","8,46","7,50","7,33","4,06",Não,"7,50","5,00"
,ALUNO-127,"1,00",A,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","1,00","7,93","7,50","5,50","6,00",Não,"6,83","5,00"
Escola Pública,ALUNO-128,"0,00",O,"7,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,00","9,40","5,63","6,08","5,00",Não,"7,16","5,00"
,ALUNO-129,"2,00",I,"7,00",Ametista,"Melhorar: Melhorar a sua entrega de lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,00","6,79","5,63","8,08","7,00",Não,"7,88","5,00"
